,genetic,length,mass,exercise,smoking,alcohol,sugar,lifespan
1908,80.0,171.0,93.0,2.0,6.0,3.0,1,85
1909,80.0,154.0,92.0,4.0,19.0,9.0,3,74
1910,80.0,190.0,103.0,2.0,4.0,4.0,2,83
1911,80.0,188.0,80.0,1.0,21.0,1.0,1,70
1912,80.0,186.0,80.0,2.0,13.0,8.0,4,66
1913,80.0,196.0,65.0,1.0,9.0,2.0,2,80
1914,80.0,178.0,61.0,1.0,7.0,7.0,2,73
1915,80.0,180.0,76.0,3.0,12.0,5.0,4,80
1916,80.0,173.0,85.0,3.0,5.0,8.0,3,85
1917,80.0,188.0,93.0,2.0,17.0,9.0,3,64
1918,80.0,187.0,64.0,2.0,21.0,5.0,2,74
1919,80.0,198.0,76.0,1.0,11.0,7.0,3,73
1920,80.0,208.0,79.0,1.0,16.0,7.0,3,62
1921,80.0,185.0,97.0,1.0,13.0,7.0,3,60
1922,80.0,168.0,67.0,1.0,17.0,6.0,2,66
1923,80.0,194.0,89.0,2.0,6.0,6.0,1,93
1924,80.0,163.0,76.0,2.0,10.0,8.0,1,77
1925,80.0,178.0,64.0,1.0,0.0,9.0,3,75
1926,80.0,199.0,104.0,1.0,2.0,6.0,2,74
1927,80.0,197.0,94.0,1.0,1.0,1.0,3,80
1928,80.0,202.0,72.0,1.0,7.0,2.0,2,83
1929,80.0,213.0,92.0,1.0,1.0,7.0,3,75
1930,80.0,192.0,67.0,1.0,12.0,4.0,2,77
1931,80.0,173.0,63.0,1.0,19.0,8.0,2,64
1932,80.0,177.0,76.0,3.0,17.0,0.0,2,89
1933,80.0,212.0,84.0,3.0,0.0,6.0,2,103
1934,80.0,180.0,68.0,1.0,17.0,8.0,4,64
1935,80.0,198.0,87.0,1.0,4.0,8.0,2,76
1936,80.0,158.0,64.0,2.0,6.0,4.0,3,77
1937,80.0,193.0,70.0,2.0,1.0,3.0,3,88
1938,80.0,202.0,101.0,2.0,13.0,3.0,4,74
1939,80.0,202.0,74.0,0.0,15.0,9.0,3,56
1940,80.0,161.0,79.0,3.0,16.0,1.0,4,81
1941,80.0,184.0,69.0,1.0,4.0,5.0,1,76
1942,80.0,191.0,79.0,1.0,17.0,7.0,2,68
1943,80.0,188.0,97.0,2.0,0.0,6.0,3,79
1944,80.0,186.0,68.0,2.0,0.0,2.0,4,92
1945,80.0,189.0,75.0,2.0,18.0,8.0,2,75
1946,80.0,157.0,88.0,2.0,7.0,5.0,3,74
1947,80.0,192.0,70.0,2.0,16.0,9.0,2,81
1948,80.0,179.0,79.0,1.0,3.0,1.0,3,80
1949,80.0,206.0,63.0,2.0,5.0,8.0,2,90
1950,80.0,170.0,81.0,1.0,14.0,1.0,3,66
1951,80.0,189.0,86.0,2.0,15.0,0.0,3,78
1952,80.0,167.0,89.0,3.0,14.0,7.0,2,77
1953,80.0,193.0,88.0,3.0,5.0,1.0,2,96
1954,80.0,181.0,86.0,3.0,22.0,6.0,1,81
1955,80.0,176.0,80.0,3.0,1.0,5.0,1,100
1956,80.0,185.0,75.0,3.0,9.0,7.0,3,89
1957,80.0,187.0,74.0,1.0,13.0,8.0,1,68
1958,80.0,169.0,80.0,1.0,21.0,6.0,2,57
1959,80.0,172.0,95.0,1.0,22.0,8.0,2,58
1960,80.0,172.0,79.0,2.0,11.0,8.0,1,78
1961,80.0,186.0,84.0,2.0,13.0,2.0,2,78
1962,80.0,185.0,90.0,3.0,13.0,1.0,3,85
1963,80.0,163.0,83.0,0.0,16.0,9.0,3,46
1964,80.0,200.0,71.0,2.0,4.0,1.0,2,95
1965,80.0,164.0,66.0,1.0,0.0,9.0,4,73
1966,80.0,179.0,63.0,1.0,3.0,9.0,3,74
1967,80.0,195.0,79.0,2.0,7.0,8.0,1,90
1968,80.0,195.0,104.0,1.0,4.0,9.0,3,67
1969,80.0,194.0,83.0,1.0,21.0,8.0,2,63
1970,80.0,190.0,65.0,1.0,2.0,6.0,3,75
1971,80.0,184.0,80.0,1.0,20.0,9.0,2,65
1972,80.0,189.0,78.0,2.0,11.0,7.0,2,80
1973,80.0,182.0,101.0,0.0,1.0,4.0,4,60
1974,80.0,188.0,66.0,1.0,0.0,8.0,2,82
1975,80.0,158.0,96.0,0.0,19.0,8.0,4,40
1976,80.0,171.0,77.0,2.0,20.0,9.0,3,61
1977,80.0,196.0,67.0,2.0,13.0,2.0,1,88
1978,80.0,182.0,93.0,1.0,0.0,4.0,2,77
1979,80.0,169.0,78.0,2.0,2.0,3.0,2,86
1980,80.0,202.0,73.0,3.0,15.0,7.0,1,91
1981,80.0,156.0,83.0,1.0,4.0,5.0,2,74
1982,80.0,176.0,84.0,3.0,8.0,1.0,2,98
1983,80.0,191.0,68.0,3.0,4.0,9.0,4,92
1984,80.0,187.0,90.0,3.0,0.0,0.0,3,99
1985,80.0,194.0,91.0,3.0,19.0,0.0,1,89
1986,80.0,156.0,63.0,2.0,7.0,3.0,2,84
1987,80.0,198.0,75.0,2.0,5.0,9.0,4,81
1988,80.0,198.0,89.0,2.0,20.0,9.0,2,67
1989,80.0,209.0,73.0,0.0,1.0,3.0,3,78
1990,80.0,179.0,93.0,3.0,11.0,5.0,2,83
1991,80.0,184.0,70.0,1.0,3.0,8.0,1,85
1992,80.0,167.0,62.0,2.0,14.0,6.0,2,78
1993,80.0,164.0,78.0,1.0,11.0,1.0,3,69
1994,80.0,170.0,82.0,2.0,0.0,5.0,1,93
1995,80.0,172.0,89.0,2.0,12.0,3.0,5,67
1996,80.0,193.0,74.0,1.0,18.0,8.0,4,60
1997,80.0,176.0,66.0,1.0,22.0,5.0,1,72
1998,80.0,210.0,71.0,3.0,19.0,9.0,2,86
1999,80.0,193.0,63.0,1.0,10.0,7.0,4,69
2000,80.0,175.0,89.0,1.0,13.0,1.0,2,74
2001,80.0,196.0,82.0,1.0,14.0,9.0,2,72
2002,80.0,173.0,80.0,1.0,22.0,1.0,2,64
2003,80.0,172.0,74.0,2.0,16.0,9.0,4,66
2004,80.0,201.0,77.0,2.0,18.0,7.0,2,77
2005,80.0,188.0,71.0,3.0,16.0,2.0,1,93
2006,80.0,166.0,100.0,0.0,1.0,5.0,4,59
2007,80.0,191.0,80.0,0.0,21.0,9.0,2,54
2008,80.0,178.0,62.0,1.0,8.0,4.0,2,73
2009,80.0,188.0,74.0,2.0,7.0,9.0,3,82
2010,80.0,183.0,88.0,1.0,16.0,5.0,3,61
2011,80.0,177.0,74.0,3.0,1.0,2.0,1,104
2012,80.0,193.0,64.0,3.0,3.0,2.0,3,100
2013,80.0,182.0,68.0,1.0,0.0,9.0,2,84
2014,80.0,169.0,70.0,3.0,1.0,9.0,3,87
2015,80.0,189.0,65.0,0.0,0.0,7.0,3,70
2016,80.0,204.0,70.0,1.0,18.0,3.0,2,70
2017,80.0,179.0,86.0,1.0,0.0,6.0,5,73
2018,80.0,171.0,87.0,1.0,16.0,7.0,2,64
2019,80.0,197.0,77.0,1.0,16.0,7.0,4,63
2020,80.0,179.0,68.0,2.0,0.0,3.0,1,96
2021,80.0,187.0,70.0,1.0,14.0,7.0,2,72
2022,80.0,179.0,74.0,1.0,5.0,4.0,2,77
2023,80.0,163.0,74.0,2.0,13.0,3.0,3,80
2024,80.0,164.0,65.0,1.0,12.0,5.0,2,71
2025,80.0,190.0,90.0,2.0,18.0,0.0,3,70
2026,80.0,183.0,103.0,2.0,4.0,7.0,1,80
2027,80.0,177.0,84.0,2.0,0.0,6.0,2,84
2028,80.0,203.0,97.0,1.0,11.0,8.0,2,67
2029,80.0,180.0,60.0,1.0,1.0,2.0,2,85
2030,80.0,185.0,71.0,2.0,19.0,9.0,1,75
2031,80.0,173.0,65.0,2.0,3.0,8.0,2,85
2032,80.0,177.0,75.0,1.0,4.0,4.0,3,79
2033,80.0,190.0,79.0,2.0,20.0,5.0,3,71
2034,80.0,174.0,82.0,2.0,9.0,8.0,3,78
2035,80.0,187.0,85.0,1.0,17.0,7.0,2,65
2036,80.0,201.0,62.0,2.0,1.0,7.0,3,85
2037,80.0,190.0,94.0,1.0,21.0,2.0,3,59
2038,80.0,183.0,103.0,1.0,7.0,9.0,2,65
2039,80.0,175.0,86.0,3.0,0.0,7.0,4,85
2040,80.0,170.0,79.0,2.0,5.0,4.0,3,80
2041,80.0,174.0,70.0,2.0,22.0,7.0,2,69
2042,80.0,208.0,72.0,2.0,14.0,1.0,2,87
2043,80.0,193.0,64.0,0.0,1.0,8.0,2,77
2044,80.0,195.0,96.0,1.0,1.0,7.0,4,76
2045,80.0,190.0,74.0,1.0,12.0,6.0,1,78
2046,80.0,208.0,70.0,0.0,12.0,2.0,2,70
2047,80.0,175.0,79.0,1.0,11.0,8.0,1,74
2048,80.0,171.0,88.0,3.0,5.0,1.0,2,94
2049,80.0,175.0,94.0,2.0,2.0,7.0,2,84
2050,80.0,181.0,65.0,2.0,18.0,2.0,2,78
2051,80.0,172.0,70.0,3.0,12.0,6.0,3,83
2052,80.0,180.0,81.0,1.0,20.0,1.0,3,63
2053,80.0,165.0,93.0,1.0,5.0,2.0,3,70
2054,80.0,202.0,64.0,2.0,12.0,6.0,2,90
2055,80.0,189.0,64.0,1.0,10.0,9.0,2,72
2056,80.0,195.0,64.0,2.0,8.0,4.0,3,86
2057,80.0,193.0,76.0,0.0,3.0,0.0,3,74
2058,80.0,180.0,80.0,1.0,21.0,8.0,3,58
2059,80.0,154.0,86.0,1.0,19.0,8.0,1,55
2060,80.0,194.0,70.0,2.0,0.0,7.0,2,87
2061,80.0,198.0,64.0,1.0,17.0,7.0,3,68
2062,80.0,191.0,67.0,2.0,0.0,6.0,2,89
2063,80.0,170.0,61.0,2.0,20.0,9.0,2,72
2064,80.0,179.0,78.0,3.0,12.0,9.0,2,83
2065,80.0,178.0,85.0,1.0,1.0,9.0,3,69
2066,80.0,197.0,96.0,2.0,22.0,5.0,1,71
2067,80.0,193.0,75.0,3.0,13.0,3.0,3,91
2068,80.0,177.0,79.0,2.0,18.0,10.0,2,74
2069,80.0,185.0,65.0,3.0,9.0,7.0,3,88
2070,80.0,180.0,85.0,1.0,9.0,5.0,4,60
2071,80.0,191.0,67.0,1.0,9.0,9.0,3,66
2072,80.0,164.0,87.0,1.0,9.0,9.0,2,64
2073,80.0,201.0,85.0,3.0,11.0,8.0,2,90
2074,80.0,178.0,109.0,3.0,0.0,0.0,2,99
2075,80.0,177.0,73.0,2.0,6.0,6.0,4,78
2076,80.0,174.0,64.0,2.0,21.0,2.0,1,81
2077,80.0,186.0,66.0,1.0,2.0,8.0,2,77
2078,80.0,193.0,65.0,1.0,17.0,6.0,2,72
2079,80.0,202.0,86.0,1.0,5.0,5.0,3,75
2080,80.0,164.0,112.0,1.0,12.0,7.0,2,58
2081,80.0,175.0,88.0,1.0,13.0,9.0,3,59
2082,80.0,183.0,90.0,2.0,0.0,9.0,3,77
2083,80.0,187.0,87.0,1.0,9.0,5.0,2,68
2084,80.0,201.0,73.0,1.0,14.0,3.0,2,78
2085,80.0,163.0,95.0,0.0,3.0,1.0,2,65
2086,80.0,201.0,102.0,1.0,11.0,8.0,2,64
2087,80.0,201.0,81.0,2.0,15.0,8.0,3,73
2088,80.0,168.0,89.0,3.0,19.0,6.0,4,78
2089,80.0,175.0,91.0,1.0,21.0,2.0,2,58
2090,80.0,172.0,71.0,3.0,17.0,8.0,1,84
2091,80.0,196.0,80.0,2.0,0.0,7.0,3,83
2092,80.0,196.0,79.0,1.0,6.0,3.0,2,79
2093,80.0,176.0,66.0,2.0,0.0,8.0,3,85
2094,80.0,173.0,61.0,0.0,14.0,3.0,3,62
2095,80.0,178.0,64.0,1.0,16.0,5.0,2,75
2096,80.0,181.0,63.0,1.0,3.0,6.0,1,86
2097,80.0,189.0,103.0,3.0,11.0,5.0,2,93
2098,80.0,189.0,79.0,1.0,3.0,2.0,1,80
2099,80.0,208.0,70.0,1.0,21.0,4.0,2,65
2100,80.0,180.0,65.0,1.0,6.0,1.0,2,86
2101,80.0,205.0,62.0,3.0,4.0,8.0,2,105
2102,80.0,196.0,98.0,0.0,11.0,9.0,2,61
2103,80.0,180.0,70.0,1.0,7.0,1.0,3,76
2104,80.0,189.0,63.0,1.0,0.0,6.0,2,81
2105,80.0,190.0,72.0,1.0,0.0,8.0,3,75
2106,80.0,183.0,78.0,1.0,10.0,0.0,2,76
2107,80.0,189.0,76.0,1.0,0.0,5.0,3,72
2108,80.0,206.0,79.0,1.0,14.0,3.0,2,71
2109,80.0,174.0,68.0,2.0,15.0,8.0,3,77
2110,80.0,171.0,91.0,1.0,2.0,6.0,3,75
2111,80.0,199.0,85.0,3.0,2.0,5.0,3,92
2112,80.0,182.0,102.0,2.0,0.0,5.0,4,74
2113,80.0,176.0,71.0,2.0,9.0,5.0,1,86
2114,80.0,174.0,69.0,3.0,1.0,3.0,3,95
2115,80.0,167.0,67.0,4.0,6.0,3.0,2,105
2116,80.0,174.0,112.0,3.0,20.0,9.0,1,72
2117,80.0,180.0,68.0,2.0,18.0,9.0,3,69
2118,80.0,201.0,72.0,1.0,12.0,5.0,3,70
2119,80.0,179.0,64.0,2.0,1.0,1.0,2,101
2120,80.0,195.0,87.0,3.0,8.0,6.0,2,90
2121,80.0,186.0,64.0,2.0,13.0,4.0,2,87
2122,80.0,177.0,79.0,1.0,19.0,8.0,2,64
2123,80.0,181.0,79.0,1.0,21.0,9.0,3,54
2124,80.0,180.0,103.0,1.0,1.0,8.0,2,73
2125,80.0,202.0,76.0,1.0,17.0,6.0,2,69
2126,80.0,194.0,82.0,3.0,17.0,5.0,2,85
2127,80.0,171.0,79.0,1.0,18.0,6.0,2,68
2128,80.0,160.0,80.0,1.0,17.0,6.0,1,61
2129,80.0,155.0,76.0,0.0,18.0,2.0,2,56
2130,80.0,201.0,85.0,0.0,8.0,6.0,3,65
2131,80.0,187.0,96.0,1.0,20.0,8.0,2,60
2132,80.0,187.0,94.0,3.0,13.0,2.0,3,87
2133,80.0,197.0,64.0,1.0,17.0,7.0,3,71
2134,80.0,181.0,75.0,2.0,22.0,8.0,3,61
2135,80.0,182.0,89.0,3.0,8.0,7.0,2,86
2136,80.0,179.0,62.0,1.0,22.0,8.0,3,63
2137,80.0,178.0,67.0,4.0,19.0,6.0,1,94
2138,80.0,187.0,70.0,1.0,19.0,5.0,2,68
2139,80.0,190.0,74.0,2.0,11.0,6.0,4,78
2140,80.0,162.0,99.0,2.0,21.0,8.0,3,61
2141,80.0,184.0,63.0,0.0,16.0,3.0,1,68
2142,80.0,195.0,91.0,1.0,17.0,2.0,2,67
2143,80.0,187.0,84.0,1.0,17.0,9.0,1,68
2144,80.0,181.0,82.0,1.0,3.0,6.0,3,69
2145,80.0,199.0,84.0,2.0,18.0,8.0,4,69
2146,80.0,169.0,73.0,1.0,1.0,,4,70
2147,80.0,185.0,101.0,2.0,11.0,7.0,2,72
2148,80.0,182.0,99.0,1.0,22.0,3.0,4,57
2149,80.0,181.0,60.0,2.0,9.0,4.0,4,80
2150,80.0,195.0,101.0,1.0,0.0,4.0,2,78
2151,80.0,168.0,83.0,2.0,15.0,2.0,3,76
2152,80.0,177.0,68.0,1.0,8.0,9.0,3,68
2153,80.0,190.0,87.0,3.0,21.0,6.0,4,71
2154,80.0,203.0,74.0,2.0,16.0,9.0,2,72
2155,80.0,206.0,76.0,1.0,2.0,6.0,2,83
2156,80.0,178.0,86.0,3.0,19.0,3.0,3,80
2157,80.0,167.0,103.0,2.0,18.0,9.0,2,61
2158,80.0,202.0,99.0,1.0,7.0,3.0,2,74
2159,80.0,183.0,93.0,2.0,2.0,9.0,3,85
2160,80.0,196.0,74.0,3.0,9.0,7.0,3,87
2161,80.0,186.0,112.0,1.0,18.0,7.0,2,63
2162,80.0,163.0,85.0,2.0,6.0,5.0,2,85
2163,80.0,181.0,70.0,2.0,5.0,1.0,1,98
2164,80.0,165.0,69.0,3.0,16.0,5.0,2,83
2165,80.0,189.0,107.0,0.0,8.0,3.0,2,65
2166,80.0,176.0,69.0,2.0,10.0,7.0,1,82
2167,80.0,196.0,82.0,1.0,9.0,6.0,4,65
2168,80.0,175.0,79.0,2.0,22.0,7.0,1,75
2169,80.0,199.0,85.0,1.0,6.0,7.0,3,76
2170,80.0,178.0,68.0,2.0,4.0,6.0,3,82
2171,80.0,210.0,73.0,1.0,3.0,8.0,2,77
2172,80.0,194.0,92.0,3.0,21.0,7.0,2,80
2173,80.0,190.0,72.0,2.0,1.0,0.0,2,92
2174,80.0,191.0,87.0,3.0,6.0,3.0,4,86
2175,80.0,176.0,79.0,1.0,8.0,0.0,2,81
2176,80.0,167.0,81.0,2.0,5.0,3.0,2,86
2177,80.0,163.0,98.0,2.0,6.0,7.0,2,77
2178,80.0,179.0,81.0,1.0,8.0,9.0,2,67
2179,80.0,186.0,91.0,1.0,0.0,8.0,5,69
2180,80.0,185.0,82.0,3.0,9.0,5.0,1,91
2181,80.0,188.0,76.0,1.0,7.0,6.0,3,77
2182,80.0,195.0,71.0,3.0,0.0,7.0,1,99
2183,80.0,167.0,89.0,1.0,12.0,4.0,4,58
2184,80.0,194.0,65.0,1.0,1.0,8.0,3,80
2185,80.0,212.0,87.0,1.0,5.0,8.0,2,74
2186,80.0,203.0,79.0,2.0,14.0,6.0,2,76
2187,80.0,190.0,87.0,2.0,1.0,9.0,2,84
2188,80.0,193.0,85.0,2.0,16.0,9.0,3,72
2189,80.0,197.0,72.0,2.0,18.0,4.0,4,78
2190,80.0,177.0,67.0,3.0,1.0,8.0,3,97
2191,80.0,174.0,93.0,3.0,20.0,2.0,1,80
2192,80.0,164.0,84.0,3.0,1.0,8.0,1,99
2193,80.0,175.0,62.0,2.0,17.0,9.0,3,68
2194,80.0,180.0,72.0,1.0,11.0,10.0,2,65
2195,80.0,180.0,86.0,1.0,0.0,8.0,3,76
2196,80.0,176.0,88.0,2.0,3.0,9.0,2,86
2197,80.0,190.0,93.0,1.0,16.0,7.0,3,63
2198,80.0,173.0,76.0,1.0,0.0,6.0,2,77
2199,80.0,195.0,99.0,0.0,2.0,9.0,2,64
2200,80.0,173.0,105.0,2.0,9.0,2.0,1,86
2201,80.0,201.0,64.0,2.0,17.0,5.0,5,67
2202,80.0,180.0,68.0,1.0,22.0,3.0,2,69
2203,80.0,173.0,63.0,2.0,7.0,4.0,3,87
2204,80.0,202.0,65.0,1.0,5.0,4.0,1,87
2205,80.0,166.0,77.0,1.0,1.0,8.0,3,68
2206,80.0,190.0,64.0,3.0,0.0,8.0,3,93
2207,80.0,182.0,62.0,1.0,0.0,8.0,2,79
2208,80.0,200.0,87.0,0.0,17.0,9.0,2,57
2209,80.0,192.0,66.0,3.0,20.0,4.0,3,89
2210,80.0,186.0,65.0,2.0,19.0,9.0,1,72
2211,80.0,188.0,72.0,1.0,19.0,5.0,3,61
2212,80.0,174.0,86.0,3.0,5.0,5.0,3,87
2213,80.0,172.0,77.0,1.0,0.0,0.0,2,86
2214,80.0,210.0,78.0,3.0,7.0,6.0,3,92
2215,80.0,183.0,88.0,1.0,0.0,10.0,2,74
2216,80.0,188.0,81.0,1.0,11.0,7.0,4,68
2217,80.0,175.0,77.0,0.0,5.0,7.0,2,64
2218,80.0,178.0,95.0,1.0,4.0,9.0,1,73
2219,80.0,183.0,82.0,2.0,0.0,2.0,4,91
2220,80.0,169.0,75.0,1.0,14.0,6.0,1,73
2221,80.0,200.0,101.0,2.0,20.0,9.0,2,74
2222,80.0,164.0,91.0,1.0,17.0,4.0,2,62
2223,80.0,195.0,81.0,0.0,1.0,7.0,2,73
2224,80.0,161.0,64.0,3.0,0.0,6.0,2,95
2225,80.0,180.0,71.0,2.0,8.0,8.0,4,78
2226,80.0,169.0,72.0,1.0,18.0,6.0,3,66
2227,80.0,187.0,83.0,2.0,16.0,4.0,3,73
2228,80.0,195.0,71.0,3.0,17.0,5.0,1,95
2229,80.0,161.0,72.0,1.0,16.0,9.0,3,54
2230,80.0,205.0,68.0,1.0,11.0,4.0,2,76
2231,80.0,190.0,85.0,2.0,11.0,4.0,1,89
2232,80.0,173.0,99.0,1.0,20.0,8.0,2,59
2233,80.0,169.0,64.0,1.0,2.0,7.0,3,74
2234,80.0,184.0,72.0,1.0,13.0,4.0,2,76
2235,80.0,200.0,92.0,1.0,20.0,8.0,2,60
2236,80.0,208.0,85.0,1.0,14.0,9.0,2,68
2237,80.0,208.0,89.0,2.0,0.0,2.0,1,96
2238,80.0,180.0,95.0,3.0,0.0,5.0,2,100
2239,80.0,180.0,106.0,1.0,20.0,9.0,3,50
2240,80.0,200.0,96.0,2.0,2.0,7.0,3,81
2241,80.0,184.0,81.0,0.0,10.0,6.0,3,61
2242,80.0,175.0,67.0,3.0,10.0,6.0,1,92
2243,80.0,167.0,85.0,1.0,16.0,6.0,3,64
2244,80.0,184.0,74.0,3.0,0.0,2.0,3,97
2245,80.0,200.0,85.0,3.0,15.0,6.0,2,87
2246,80.0,204.0,73.0,2.0,19.0,1.0,3,81
2247,80.0,170.0,73.0,1.0,8.0,8.0,1,77
2248,80.0,202.0,83.0,2.0,20.0,9.0,2,70
2249,80.0,163.0,76.0,1.0,5.0,6.0,2,75
2250,80.0,199.0,78.0,2.0,0.0,9.0,2,84
2251,80.0,180.0,63.0,2.0,1.0,2.0,2,92
2252,80.0,184.0,85.0,2.0,14.0,5.0,3,73
2253,80.0,168.0,102.0,2.0,16.0,2.0,3,68
2254,80.0,170.0,93.0,1.0,0.0,9.0,2,75
2255,80.0,167.0,93.0,2.0,7.0,4.0,1,79
2256,80.0,179.0,79.0,1.0,16.0,6.0,1,67
2257,80.0,182.0,84.0,2.0,15.0,8.0,2,72
2258,80.0,181.0,75.0,1.0,9.0,9.0,2,71
2259,80.0,172.0,61.0,2.0,16.0,8.0,2,78
2260,80.0,179.0,67.0,1.0,0.0,6.0,2,82
2261,80.0,180.0,86.0,2.0,0.0,9.0,1,87
2262,80.0,206.0,87.0,0.0,18.0,7.0,3,56
2263,80.0,159.0,103.0,1.0,1.0,5.0,1,76
2264,80.0,186.0,65.0,0.0,13.0,5.0,3,64
2265,80.0,181.0,86.0,3.0,10.0,1.0,3,89
2266,80.0,182.0,78.0,2.0,4.0,9.0,2,83
2267,80.0,193.0,80.0,1.0,20.0,8.0,3,62
2268,80.0,188.0,82.0,1.0,18.0,3.0,3,65
2269,80.0,187.0,85.0,1.0,9.0,4.0,4,73
2270,80.0,173.0,74.0,1.0,17.0,9.0,2,60
2271,80.0,187.0,84.0,2.0,0.0,6.0,3,87
2272,80.0,204.0,74.0,1.0,11.0,4.0,2,74
2273,80.0,170.0,61.0,2.0,17.0,8.0,3,74
2274,80.0,197.0,76.0,3.0,11.0,9.0,2,90
2275,80.0,160.0,62.0,2.0,9.0,8.0,2,76
2276,80.0,182.0,61.0,3.0,11.0,3.0,4,91
2277,80.0,176.0,70.0,2.0,17.0,9.0,2,72
2278,80.0,191.0,90.0,1.0,2.0,0.0,2,82
2279,80.0,173.0,84.0,2.0,1.0,8.0,3,80
2280,80.0,184.0,76.0,1.0,1.0,6.0,2,78
2281,80.0,183.0,100.0,0.0,15.0,8.0,2,56
2282,80.0,169.0,76.0,1.0,21.0,6.0,3,59
2283,80.0,176.0,62.0,1.0,16.0,4.0,3,68
2284,80.0,163.0,78.0,2.0,20.0,2.0,3,68
2285,80.0,171.0,72.0,2.0,0.0,6.0,1,86
2286,80.0,173.0,109.0,1.0,0.0,6.0,3,69
2287,80.0,191.0,76.0,2.0,16.0,8.0,2,71
2288,80.0,180.0,75.0,0.0,6.0,9.0,3,59
2289,80.0,160.0,100.0,3.0,1.0,4.0,3,89
2290,80.0,176.0,84.0,2.0,4.0,10.0,4,69
2291,80.0,176.0,74.0,0.0,14.0,1.0,1,70
2292,80.0,183.0,73.0,1.0,2.0,2.0,3,84
2293,80.0,170.0,71.0,1.0,20.0,5.0,3,58
2294,80.0,200.0,67.0,1.0,10.0,10.0,2,71
2295,80.0,198.0,84.0,2.0,10.0,5.0,1,85
2296,80.0,171.0,82.0,1.0,21.0,5.0,1,69
2297,80.0,191.0,74.0,2.0,8.0,7.0,2,87
2298,80.0,184.0,98.0,1.0,15.0,3.0,2,66
2299,80.0,214.0,93.0,0.0,0.0,6.0,3,67
2300,80.0,193.0,96.0,1.0,8.0,6.0,3,72
2301,80.0,203.0,92.0,1.0,19.0,8.0,4,58
2302,80.0,179.0,86.0,2.0,13.0,4.0,1,79
2303,80.0,184.0,87.0,2.0,10.0,9.0,3,73
2304,80.0,178.0,66.0,4.0,19.0,6.0,2,90
2305,80.0,185.0,83.0,1.0,18.0,3.0,2,69
2306,80.0,177.0,71.0,2.0,7.0,8.0,4,73
2307,80.0,192.0,67.0,2.0,10.0,7.0,4,73
2308,80.0,169.0,96.0,1.0,20.0,3.0,2,64
2309,80.0,181.0,86.0,1.0,11.0,6.0,2,72
2310,80.0,205.0,68.0,2.0,0.0,2.0,1,105
2311,80.0,185.0,69.0,1.0,11.0,9.0,2,68
2312,80.0,175.0,60.0,0.0,11.0,0.0,3,68
2313,80.0,185.0,90.0,3.0,16.0,2.0,3,81
2314,80.0,171.0,110.0,1.0,0.0,5.0,2,71
2315,80.0,188.0,89.0,3.0,19.0,4.0,2,82
2316,80.0,185.0,80.0,3.0,2.0,7.0,2,95
2317,80.0,178.0,71.0,1.0,8.0,7.0,4,70
2318,80.0,178.0,64.0,1.0,16.0,9.0,3,56
2319,80.0,165.0,92.0,1.0,7.0,9.0,2,66
2320,80.0,195.0,65.0,3.0,13.0,9.0,2,89
2321,80.0,187.0,71.0,1.0,18.0,9.0,3,62
2322,80.0,163.0,94.0,2.0,6.0,3.0,4,72
2323,80.0,176.0,88.0,3.0,20.0,9.0,2,75
2324,80.0,183.0,82.0,1.0,12.0,8.0,3,67
2325,80.0,192.0,75.0,2.0,6.0,5.0,4,80
2326,80.0,184.0,64.0,1.0,12.0,6.0,2,73
2327,80.0,181.0,87.0,3.0,18.0,7.0,2,77
2328,80.0,178.0,104.0,2.0,6.0,9.0,1,81
2329,80.0,195.0,97.0,1.0,10.0,1.0,2,78
2330,80.0,189.0,95.0,2.0,16.0,7.0,2,79
2331,80.0,173.0,65.0,1.0,15.0,7.0,3,64
2332,80.0,183.0,86.0,3.0,15.0,5.0,3,85
2333,80.0,182.0,65.0,0.0,6.0,1.0,2,73
2334,80.0,180.0,65.0,2.0,0.0,7.0,3,87
2335,80.0,188.0,88.0,1.0,1.0,9.0,3,71
2336,80.0,192.0,76.0,2.0,1.0,5.0,1,92
2337,80.0,188.0,64.0,1.0,18.0,1.0,1,81
2338,80.0,171.0,98.0,2.0,17.0,9.0,1,67
2339,80.0,209.0,90.0,2.0,15.0,2.0,3,76
2340,80.0,184.0,87.0,1.0,16.0,2.0,2,72
2341,80.0,198.0,88.0,1.0,12.0,7.0,3,67
2342,80.0,196.0,70.0,1.0,0.0,8.0,2,84
2343,80.0,184.0,99.0,1.0,20.0,2.0,3,66
2344,80.0,197.0,96.0,2.0,21.0,1.0,3,78
2345,80.0,173.0,82.0,2.0,5.0,8.0,1,81
2346,80.0,170.0,62.0,1.0,1.0,5.0,2,86
2347,80.0,174.0,92.0,2.0,15.0,9.0,4,63
2348,80.0,161.0,92.0,1.0,9.0,8.0,3,65
2349,80.0,180.0,94.0,1.0,3.0,5.0,3,73
2350,80.0,168.0,77.0,2.0,20.0,9.0,2,72
2351,80.0,189.0,73.0,2.0,12.0,5.0,2,81
2352,80.0,192.0,62.0,1.0,3.0,8.0,2,82
2353,80.0,191.0,96.0,3.0,18.0,7.0,3,74
2354,80.0,170.0,72.0,3.0,9.0,5.0,2,88
2355,80.0,174.0,97.0,1.0,20.0,5.0,2,62
2356,80.0,187.0,77.0,1.0,15.0,9.0,3,64
2357,80.0,191.0,71.0,1.0,9.0,5.0,2,79
